,company,job_title,location,description
162,Zeplin,Product Designer,"San Francisco, California, United States","As the Zeplin crew, we're building an app used by tens of thousands of product teams daily. While creating a common language for our fellow designers and developers, we care deeply about building a product that delights them.About The RoleOne of Zeplin's co-founders, Pelin, was our only Product Designer during the first 4 years and this puts us in a unique position—design is a core piece of Zeplin's culture. As one of Zeplin's Product Designers, you'll be forming how designers and engineers collaborate, by designing appealing and inspiring experiences.ResponsibilitiesUnderstand user problems and come up with reasonable solutions while working with teams across ZeplinDesigning interfaces for all Zeplin products, including macOS and Web appsBeing a self-starter, looking for ways to make Zeplin both easier to use and more aesthetically pleasingFollowing new, upcoming best practices and being eager to adopt themDesigning marketing and branding materials, including ads, shirts, stickersAnswering daily questions from users, collaborating with Support Engineers to investigate and solve support issuesRequirementsKnowledge of Zeplin and passion for the productA diverse portfolio that showcases:Visual design skills, e.g. typography, color, balanceInteraction skillsKnowledge on platform guidelines and best practicesBachelor's Degree or equivalent practical work experience in designClear and positive communication skills in written and spoken EnglishPreferred ExperienceMinimum 2 years professional design experienceExperience designing interfaces for desktopAbout ZeplinZeplin is a connected space for product teams to share designs, generate specs, assets, and code snippets. We've reached over 4 million users from thousands of product teams, including Airbnb, Dropbox, Pinterest, Microsoft, and many more in just six years. We're a Y Combinator startup backed by notable investors like Elad Gil, Mike Maples, Kevin Hale. We're a small, distributed crew with offices in San Francisco, Istanbul, and London, UK.Zeplin started as one piece of the product development cycle. And now designers and engineers interact at every point, from idea to production. Our goal is to help with all the issues that product teams might face in this process. Show more Show less Seniority level Entry level Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries Software Development"
163,FinTech,UX/UI Designer,"Dallas, Texas, United States","Direct message the job poster from FinTech Automation Alicia Martin -- At FinTech Automation, you'll be part of a group of individuals obsessed with digital solutions and the art of the possible. We are actively seeking a motivated and self-driven UX/UI Designer. The ideal candidate will have experience in designing and developing user interfaces to meet client needs and maximize user experience. This individual will also meet with customer representatives frequently in order to understand required content.Qualifications3+ years of UX design experienceBachelor's degree in Design (e.g. interaction, graphic, visual communications, product, etc.), Human-Computer Interaction (HCI), a related field, or equivalent practical experienceVisual Design experience with responsive web applications.Experience in creating wireframes, storyboards, user flows, and process flows to effectively communicate interaction and design ideas.Has strong attention to details with both design and with workflow logicProficient with Adobe Creative Suite including Adobe XD, illustrator, PhotoshopHas a portfolio of past projects to demonstrate their abilities﻿ResponsibilitiesEngage with Product Management to identify product vision and goalsUnderstand business objectives, audience and requirements to deliver creative, thoughtful designsCreate wireframes and visual designs for projectsDevelop mockups and prototypes that illustrate UI/UX flowPresent design decisions to the team, create and direct user interface design, according to usability best practices, standards-compliant design.Work as part of product development team to continue developing interfaces and websites using Bubble editorHelp test, troubleshoot, and resolve any issues identified Show more Show less Employment type Full-time"
164,Postclick,UI Designer,"America, South Dakota, United States","Who are we?We are innovators combining machine learning and AI with human insight to reshape digital marketing. We champion big ideas, embrace cross-functional collaboration, and invite bold thinkers from all over the world to be a part of our teams. We bring passion to our roles, cultivate diverse perspectives, and never stop striving for powerful results. Informed by a decade of conversion data, our advertising conversion cloud creates personalized connections between brands and their customers. Like us, our technology is always in pursuit of better ways.If you are excited to be part of this vision, read on!About YouYou love your work, and you want to be a part of an extraordinary Team! You believe in having a diverse and inclusive culture that promotes equality for all. We’re looking to grow our Professional Services division by adding an UI Designer to join our team. This is an exciting opportunity for an experienced individual to join a growth-stage organization and help pioneer the next generation of personalization technology. With this position you will get the opportunity to apply conversion oriented design principles to help deliver experiences that lead to results. You have a history of successfully working in a hybrid environment made up of remote workers who will stay 100% remote post covid and employees who will go back to the office three days a week once it’s safe.A day in the life… You will collaborate with copywriters, UX designers, conversion optimization strategists, client partners, and more You will define the visual direction of projects to shape and position ideas for customer impact You will review a steady stream of design work, ensuring it’s of the highest quality You will problem-solve process issues across multiple working groups You will provide occasional off-hours coverage for teammates across the company You will stay up-to-date on conversion-centric design trends and best practices You will familiarize yourself with the design guidelines and client needs of multiple clients You will work with a wide range of stakeholders to produce design solutions RequirementsWe would love to hear from you if this sounds like you… 3+ years experience with a track record of designing exceptional experiences for web and mobile pages Strong written and verbal English skills Proficient in popular design tools like the Adobe Suite, Sketch, Figma, and Creative Cloud Page optimization experience Previous work in Instapage platform is a plus Strong attention to detail and the ability to deliver high-quality work under tight timelines Ability to work and manage multiple ongoing projects Ability to present and explain design decisions to diverse groups, including customers Next Steps!We are an equal opportunity employer searching for exceptional talent of diverse backgrounds, experiences, abilities, and perspectives. We are here to support every candidate and provide reasonable accommodations to help you apply , if needed.If you’ve made it this far, we hope you’re as excited as we are about finding out if we’re a good fit for each other, let’s talk. Show more Show less Seniority level Entry level Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries Software Development"
165,Graveflex,UI/Visual Designer,United States,"Direct message the job poster from Graveflex Keely Dowd Graveflex is a team of designers and developers passionate about making professional software products for a range of clients. As a small agency, we have many opportunities for professional-growth and collaboration. We are looking for a UI/Visual Designer to join our team. As a UI/Visual Designer you will be gathering product requirements and translating them into wireframes and clickable prototypes for user testing. You will then take wireframes and build extensible UI components and design comps ready to hand off to front-end developers.Responsibilities:Compiling moodboards and design direction decks.Creating look and feel concepts.Engaging in collaborative problem solving with user experience team members and software developers.Designing visually engaging user interfaces for web, iOS and Android.Designing reusable interface components.Assembling and maintaining robust design systems in figma.Documenting user interface functionality.Presenting, articulating, and defending design ideas internally and to clients.Ideal candidate will have:2-5 years experience working in an agency environment or working in the role of a UI/Visual Designer.Proficiency designing and prototyping in figma (or comparable platform), and using abstract for version control management.Familiarity with adobe creative suite for raster and vector asset creation.Intuitive sense for design principles including: layout, color, hierarchy, typography, etc.Familiarity with UX best practices.Ability to balance user feedback, data, and intuition. (i.e. you believe in building whats best for the user and client, not just your idea.)Experience working with product management and engineering teams.Bonus: basic animation experience, familiarity with html, css, js., and experience working in agile design sprints.We are housed in a historic loft in Printers Row in the South Loop. When we are not working on a project, we’ll be watching cyber-punk movies or playing retro video games.We advocate a healthy work life balance, including PPO health and dental insurance. If you are located in Chicago, working at the office is optional. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Engineering and Design Industries Software Development"
166,Rockwell,UI Designer (Remote-Anywhere,"the United States) in Milwaukee, Wisconsin, United States","Job DescriptionWe are looking for a talented UI Designer with experience creating engaging, interactive, thoughtfully designed user experiences. The ideal candidate should have an eye for detail and pixel perfect design, possess superior UI skills and be able to translate high-level requirements into elegant and intuitive user interfaces. With the support of senior designers, you will design for web pages and desktop/mobile applications, visually QA designs and development, maintain and expand our design system and provide design support for our research, content and marketing teams. You will join a team that applies user-centered techniques through research, design and evaluation. You will collaborate with other professionals in user experience, product management, product architecture and product development.ResponsibilitiesTransform mockups, wireframes and prototypes into beautiful user interface designs following brand and style guidelines.Assist in the creation of intuitive user interactions and workflows.Present designs and sell solutions to peers and stakeholders.Give and receive critical design feedback to improve quality of design.Ability to document designs with functional specifications to enable other designers and teams to utilizeDisplay excellent collaboration skills with an ability to build consensus.Pursue an understanding of users, their goals, environments, and pain points. Apply this knowledge to drive improvements in designs and increase user satisfaction in our products.Team player who takes initiative to collaborate with others to find solutions.Ability to deliver quality design in a tight timeframe while maintaining a strong attention to detail.Understand user-centered design techniques and how to apply them.Help establish, promote and maintain UI styles and pattern libraries.Keep informed of latest UI/UX trends, techniques, and technologies.Learn, evaluate and recommend new tools and methods to support the work of the UX Team. Participate in user research and evaluate user feedback. Take strong ownership of assignments by understanding expected outcomes and requesting help as needed. Conduct work with the oversight and support of senior designers and researchers. Basic QualificationsBachelor’s in visual communication, Graphic Design (specializing in digital media) or a related field. Or, equivalent demonstrated experience and expertise.Two years of experience in user interface or user experience design for interactive web or software products.Proficiency using design and prototyping tools such as Illustrator®, Photoshop® or Sketch®.Strong collaboration, communication and presentation skills.Experience working within an established brand’s style guidelines.Demonstrable UI/UX design skills with a strong portfolio of work.Preferred QualificationsProficiency using design and prototyping tools such as Axure®, Balsamiq®, XD® or InVision®.Experience creating and maintaining design systems for enterprise-level experiences utilizing design libraries and online documentation tools such as Zeroheight and StorybookExperience creating icons and other custom illustrations for experiencesAdvanced degree in interaction design, human factors, cognitive or behavioral science or related field.Experience working in an Agile development environment. Strong written and verbal communication skills This role is a part of a job family and the base salary compensation range for this role in Colorado is $77,440.00 - 97,000.00 USD USD Annual with an annual target bonus of 5% of base salary.We are an Equal Opportunity Employer including disability and veterans.If you are an individual with a disability and you need assistance or a reasonable accommodation during the application process, please contact our services team at +1 (844) 404-7247. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries Automation Machinery Manufacturing and Software Development"
167,Clair,UX/UI Designer,United States,"About ClairIf you can send your friends money in seconds, why does it still take your employer two weeks to send your paycheck?At Clair, we are on a mission to create financial freedom for America's workers by giving them an app that allows them to get paid as soon as they clock out of work. But we're not just another digital bank or on-demand pay provider. We meet Americans at their place of work by embedding our products within the scheduling, workforce management, and payroll apps they already use every day. And, as a social impact fintech, our promise to our users is simple: we'll never charge our users to access the money they've already worked for.We welcome people who add a new set of experiences to our melting pot of backgrounds. We're 40-ish, spread across multiple states, hailing from various countries. We've got grandparents working alongside recent graduates, Americans partnering with immigrants, and self-taught coders debating with Ivy League graduates. We embrace diversity in all its forms.We are backed by investors who are not only well-renowned in their fields, but are also great partners for us. We've raised $19.5 million from Thrive Capital, Upfront Ventures, Founder Collective, and Walkabout VC, as well as many individual investors like Michael Vaughan (Former COO of Venmo) and Paul Appelbaum (Founder of Seamless).Learn more about us at getclair.com/aboutWhat will you do at Clair?As a Designer at Clair, you will be joining a small and quickly growing team of designers who are passionate about bringing financial security to underserved communities. Your work will be cross-functional and your impact will be felt across our company. Our product offering is still new and ripe for innovation - are you ready to take it to the next level with us?Some Of Your Specific Responsibilities Will IncludeDelivering design work including sketches, wireframes, prototypes, & high fidelity designs that all lead to a highly intuitive user experience.Running usability studies to test design ideas with our target audience.Designing high-quality, thoughtful interfaces that balance aesthetics and usability.Ensuring that brand and quality standards are met.Contributing to our growing design system.Building empathy for our users through close collaboration on user research.Taking ownership of your product area and being accountable for delivering work on-time.Articulating your design vision to cross-functional partners with exceptional clarity.Bringing knowledge about accessibility and the impact of inclusive design on a community.Effectively communicate with developers to implement and realize the design vision.Getting to know the world of finance technology (and making it better!)Who will succeed at Clair? Someone who….4+ years of experience in Product or UX Design. Can show a portfolio of mobile design case studies.Has worked in a start-up or high growth team and understands the importance of creating process and structure. Is familiar with design tools and technologies including Figma, Miro, Sketch and/or Jira. Asks thought-provoking questions before diving into execution.Thrives in a collaborative, diverse work environment.Takes pride in owning their work and delivers on schedule.Challenges themselves to pick up new skills and workflows.Understands UI/UX best practices.Wants to be in a hands-on designer role.Enjoys working in a fast and quickly-evolving environment.Is excited to have a social impact in their work.Can travel to NYC to collaborate with Product and Technology teams.Has US work authorization.Not sure you tick all the boxes? We encourage you to apply. We have a culture of learning, and if this job description sounds exciting, we’d love to hear from you.Need more convincing?BenefitsApart from getting to work with our incredible team, here are some of the benefits you can expect when you join Clair100% Medical, Dental, & Vision Coverage, with option to extend to your familyFully-paid parental leaveCompany-sponsored 401k, HSA, and FSATelehealth & medical concierge services with OneMedicalUnlimited vacation Work from home setup allowanceCitibike membership for NY-based employeesAccess to your earnings every day on Clair Company-sponsored short-term and long-term disability insuranceEqual Opportunity Employer InformationClair is an equal opportunity employer and we value diversity at our company. We actively seek a diverse applicant pool and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.For questions, please email us at careers@getclair.com Show more Show less Seniority level Entry level Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries Financial Services"
168,CGI,UX / UI Designer,"Lafayette, Louisiana, United States","Direct message the job poster from CGI Tammi Cockerham Job DescriptionJob Description UX / UI DesignerPosition DescriptionCGI has an immediate need for UX / UI Designer to join our financial services team in one of our selected CGI locations. Due to the current COVID-19 status, candidates will not be required to work within the physical work location at this time. When COVID-19 restrictions are lifted, they will be required to be located within the proximity of the assigned CGI location.This is an exciting opportunity to work in a fast-paced team environment supporting one of the largest leaders in the secondary mortgage industry. We take an innovative approach to supporting our client, working side-by-side in an agile environment using emerging technologies. We partner with 15 of the top 20 banks globally, and our top 10 banking clients have worked with us for an average of 26 years! Full-time opportunity to become a member of a stable, growing organization with over $8.5 billion+ in annual revenue We have over 73,000+ CGI Members in 40 countries and over 5k+ loyal Clients who are leveraging our end-to-end services across the globe We offer a competitive total compensation package that includes medical, dental, vision, 401k, paid vacation, and much more – and all CGI benefits begin on your first day of employment!Your future duties and responsibilitiesA talented designer to help create innovative and intuitive designs for the front end developers to bring the design to life.Your future duties and responsibilities Translate business and stakeholders requirements to visualization design wireframes for the requirements. Lo-fi and Hi-fi designs. Create accurate flow of screens, design appropriate inputs and displays for smooth user experience Plan and implement new designs Optimize existing user interface designs Test for intuitively and experience Communicate with clients to understand their business goals and objectives Develop technical and business requirements and always strive to deliver intuitive and user-centered solutions Combine creativity with an awareness of the design elements Create prototypes for new product ideas Test new ideas before implementing Conduct an ongoing user researchRequired Qualifications To Be Successful In This Role 5-7 years of Wireframing, UX UI designing UI design portfolio Excellent interpersonal and communication skills Ability to discuss and explain design options Detail oriented Critical thinker Problem solver and customer-centered Knowledge of Adobe range of products including Photoshop, Illustrator, InDesign, Acrobat and Dreamweaver Experience with HTML5 & CSS3 Some knowledge of Usability Factors in Human Computer InteractionEDUCATION REQUIREMENTB.S, Computer science#DICE#DoublemaBuild your career with us.It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients’ digital journeys and offering our professionals exciting career opportunities.At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.Be part of building one of the largest independent technology and business services firms in the world.Learn more about CGI at www.cgi.com .No unsolicited agency referrals please.CGI is an equal opportunity employer.Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, pregnancy, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com . You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a requisition number will not be returned.We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held. CGI will consider for employment qualified applicants with arrests and conviction records in accordance with all local regulations and ordinances.CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI’s legal duty to furnish information.Skills Detail-oriented UX design Show more Show less Seniority level Entry level Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries IT Services and IT Consulting"
169,,,,
170,Tank,Junior User Interface Designer,"Somerville, Massachusetts, United States","Direct message the job poster from Tank Design Jess P. HR, Talent Manager at Tank Design About TankTank is a bi-coastal branding, design and experience agency with studios in Somerville, MA and San Francisco, CA. We are a strongly integrated group of researchers, strategists, designers, writers, technologists, and liaisons, bound together to create new digital experiences, evolve existing brands and empower established brands. Want to learn more about Tank Design and the work we do? Visit us at tankdesign.com/workYou will offer:Minimum 2 years experience in an agency or in-house design role.Demonstrate advanced user interface and product UI system work through a strong, crafted portfolio.Take complex challenges and Inspire clients with innovate ways to approach them.Have a strong portfolio that demonstrates solid user experience and understands best practices when applied to visual UI and product work.An interest in design strategy and system design approaches, involving maintaining and evolving design languages, UI libraries and systems.Be able to manage multiple projects and execute in a fast-paced environment.Skilled in using the latest design and prototyping tools (e.g Sketch, Invision, Figma, Abstract, Zeplin)A foundational understanding of front-end development to communicate and partner with the development teams both internally and externally.Understanding of responsive mobile best practices. Native app experience a benefit.Understanding of interaction design involving motion.Strong communication skill and the ability to educate and inspire clientsCapable of using the power of data to inform design decisions and experiences.Understanding of WCAG/ADA best practices.Work LocationSomerville, MA (currently remote)To be considered, you must complete all application questions and be eligible to work in the United States. Show more Show less Employment type Full-time"
171,Photon,UI Designer (Mid Level),United States,"Direct message the job poster from Photon Jay Echols Creative Recruiter REQUIRED EXPERIENCE - 4 Years+ RESPONSIBILITIES Collaborate with engineers and product managers to gather user requirements Create user-centered designs by understanding business requirements, the voice of the customer, user journeys, customer feedback, and usability findings Create a cohesive style guide to ensure consistent design language is followed across the product Create prototypes, wireframes, and mock-ups to demonstrate the functioning and layout of the product Conduct usability testing to identify gaps in design and see if they can be further improved Stay current with new UI/UX developments and techniques Test applications for usability, in partnership with stakeholders and users Work in our Agile/Scrum environment, participating in and contributing to the ceremonies and processes (daily stand-ups, code reviews, sprint retrospectives, etc.) that keep the process continually improving Work on a development team that may include other technical professionals, subject matter experts, project stakeholders, and executive leadership REQUIREMENTS • DESIGN TOOLS – Sketch, Adobe XD, Figma, Illustrator, Photoshop • PROTOTYPING TOOLS – InVision, Axure, Framer, Principle, Figma • COLLABORATION TOOLS - Abstract • COMMUNICATION PLATFORM - Microsoft Teams Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Design and Art/Creative Industries Design Services"
172,24,User Interface Designer,United States,"The ideal candidate will have experience in creating mockups to present to teams, collecting feedback and creating a quality piece of work. This individual should be comfortable with building sitemaps, wireframes and prototypes to provide to project manners and inevitably execute based on outlined criteria. This candidate should have strong creative and design skills and be familiar with various design technologies. ResponsibilitiesDevelop design solutions for various platforms Establish consistent brand and creative designs Communicate ideas with project managers using mock-up and look books Collect feedback from project managers and adjust approach to cater to criteria Build sitemaps, wireframes and prototypes to outline structureQualificationsBachelor's degree in user experience, design or related field 3 years of experience with UI design Strong communication, design and creative thinking skills Experience with Adobe Pro, Photoshop and programming languages HTML, CSS and JavaScript Show more Show less Seniority level Associate Employment type Contract Job function Design, Art/Creative, and Information Technology Industries Staffing and Recruiting"
173,Activision,UI Designer,"Los Angeles, California, United States","Job TitleUI DesignerRequisition IDR013542Job DescriptionYour Platform Founded in 2002, Infinity Ward is the original studio behind the Call of Duty® franchise. The titles developed by Infinity Ward have won more than 200 ""Game of the Year"" awards and 100 ""Editor's Choice"" awards, among many other industry accolades. Some of our previous titles include: Call of Duty®: Ghosts, Call of Duty®: Infinite Warfare and most recently, Call of Duty®: Modern Warfare.A critically acclaimed studio, Infinity Ward is proud to have one of the most passionate and talented development teams in the industry. We love to have as much fun as the games we create, and it shows in our relaxed, yet diligent, workplace environment. We believe that making the best games relies on having the best people, so we like to look after ours. We enjoy having fun with top-notch events that everyone gets involved with.Infinity Ward is wholly owned by Activision. To learn more about our studio, please visit us at https://www.infinityward.com/, on Facebook at https://www.facebook.com/InfinityWard/, and @InfinityWard on Twitter.Your MissionAs a UI Designer you will participate in the creation and maintenance of a functioning, iterative UI pipeline, in collaboration with team members from other disciplines.ResponsibilitiesPriorities can often change in a fast-paced environment like ours, so this role includes, but is not limited to, the following responsibilitiesCreate UI layout, script functionality, and animation of UI features.Create and/or integrate assets and test functionality of UI widgets.Work closely with our UI/UX Director, UI Design Lead and other UI/UX Designers on implementing and scrutinizing UI components.Player Profile Experience3+ years developing for PC and console, as well as one shipped title is preferred.Knowledge & SkillsPassionate and knowledgeable about UI and UX, and able to articulate this.Experience with scripting languages (Lua, ActionScript, C#, Python, React JS).Must be proficient in Adobe Photoshop & Illustrator.Key AttributesPassion for games.Our World Activision Blizzard, Inc. (NASDAQ: ATVI), is one of the world's largest and most successful interactive entertainment companies and is at the intersection of media, technology and entertainment. We are home to some of the most beloved entertainment franchises including Call of Duty®, World of Warcraft®, Overwatch®, Diablo®, Candy Crush™ and Bubble Witch™. Our combined entertainment network delights hundreds of millions of monthly active users in 196 countries, making us the largest gaming network on the planet!Our ability to build immersive and innovate worlds is only enhanced by diverse teams working in an inclusive environment. We aspire to have a culture where everyone can thrive in order to connect and engage the world through epic entertainment. We provide a suite of benefits that promote physical, emotional and financial well-being for ‘Every World’ - we’ve got our employees covered!The videogame industry and therefore our business is fast-paced and will continue to evolve. As such, the duties and responsibilities of this role may be changed as directed by the Company at any time to promote and support our business and relationships with industry partners.Activision Blizzard is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law and will not be discriminated against on the basis of disability.R013542 Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries Computer Games"
174,AWH,Remote UX/UI Designer Hourly Contractors Needed,"Dublin, Ohio, United States","Are you a talented UI/UX Designer looking to add a new contract client to your business?AWH is a software engineering firm interested in fun, quirky, hardworking individuals with a strong vision and a desire to stay on top of trends in the digital and emerging technology space. If you have a strong passion for helping businesses achieve their digital strategy, this role is for you.Can you do this:Work alongside client and teams to solve complex problemsStay self-directed and keep projects moving forwardCreate engaging, high-quality user interfaces for clientsConceive improvements to existing interfacesBe responsible for deliverables such as wireframes, sitemaps, personas, user journeys, prototypes, etc.Manage time responsibly to achieve goals and deadlinesCreate and give internal and client-facing presentationsWork alongside development teams to implement designsDo you have these skills:2 -- 3 year’s professional experience in UX/UI designPortfolio exhibiting a clear understanding of design principles with strong examples of visual designStrong foundation in visual design with an understanding of UX principlesAbility to work in teams and be self-directedStrong verbal, written, and visual communication skillsWorking knowledge of Industry tools (The Adobe Suite, PowerPoint, Sketch, Invision, Flinto, Figma, etc.)BFA in graphic design, user experience design, or a related fieldFront- or back-end coding skillsMotion design skillsA passion for design that extends beyond the workplaceThis is a contract position with up to 40-hours of work each week and a rate of up to $55/hour.Powered by JazzHRx4ZRE1cUxO Show more Show less Seniority level Mid-Senior level Employment type Contract Job function Other Industries IT Services and IT Consulting"
175,Amazon,Visual UI Designer,"New York, New York, United States","Job SummaryDESCRIPTIONThe AWS Analytics team designs and delivers the next generation suite of business analytics tools such as Amazon QuickSight, Amazon FinSpace, and AWS Glue Databrew. We empower technical and non-technical users in every industry with “low-code” and “no-code” analytics solutions. We constantly innovate ways to deliver faster, more intuitive, and more actionable insights at a massive scale. We are re-inventing business intelligence with the goal of allowing everyone to make data-driven decisions. Our customers include startups and Fortune 500 companies.To help us delight our customers, we are seeking a talented, creative, and customer-obsessed Visual Designer to be the key voice in defining the brand identity and visual language of our enterprise-class application through UI, art direction, graphic design, and motion design.Key job responsibilitiesYou will be part of a world-class team in a fast-paced environment that has the entrepreneurial feel of a start-up. Each day, hundreds of thousands of developers harness the power of Amazon Web Services (AWS) to enable innovative applications, websites, and businesses. You will have a significant impact on our business as you take a leadership role in setting the creative strategy for this new collection of products and services.You will also drive our creative strategy by working with key stakeholders to prioritize and maximize resources, scoping projects, and communicating trade-offs when appropriate. You will be part of a multidisciplinary team of designers, researchers, and design technologists who seek to harness the power of the AWS cloud into an everyday tool for data management, analysis and collaboration through a human-centered design process.A day in the lifeThe ideal candidate will thrive in collaboration with UX designers, product managers, marketing managers, and other visual designers to create and maintain a cohesive visual identity for our new service across all customer touch-points. You are a problem solver with strong bias for action, always ready to be hands-on to visualize solutions. You take a customer-centered approach to define how visual design works across contexts, devices and domains, while being able to dive deep into identity, layout, typography, UI, motion design, and other components of visual brand expression. You proactively work on behalf of the team to create clarity in the face of ambiguity.Basic Qualifications 6+ years of professional experience as a UI designer or interaction designer, visual designer, creative director, art director, or similar role An online portfolio or samples of work on resume, demonstrating experience creating great end-to-end, user-centered design solutions and patterns, across desktop and mobile devices. Experience working in a product lifecycle with front-end and back-end engineering teams. Estimate, organize, and track components within an atomic design system. Bachelor’s or equivalent degree in graphic design or related field or equivalent professional experience within a design fieldPreferred Qualifications Exceptional creative concepting, development, and design skills, Experience creating brand guidelines and UX design systems Deep understanding of typography, design principles, trends and best practices across enterprise software Excellent communication, collaboration, and presentation skills Relentless desire for innovation, balanced with business and user interaction priorities A self-starter with the ability to navigate ambiguous situations and thrive in a fast-paced, start-up environment An understanding of how to advocate for customers and integrate user research in the creative process Curiosity to dig several layers deep into success metrics, have an innate desire to understand key drivers Basic knowledge of UX and front-end web design processes and accessibility standardsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Company - Amazon Dev Center U.S., Inc.Job ID: A1905213 Show more Show less Seniority level Not Applicable Employment type Full-time Job function Art/Creative and Design Industries IT Services and IT Consulting, Software Development, and Internet Publishing"
176,Portfolio,User Interface Designer,"Columbus, Ohio Metropolitan Area","Direct message the job poster from Portfolio Creative Jamie Wells Business Development Manager at Portfolio Creative ABOUT OUR CLIENT:Award-winning creative studio based proudly in downtown Columbus, Ohio.Founders started the company in 2011 on the belief that a smaller, focused team can deliver a more powerful consumer-first, branded experience than most, larger shops.MUST-HAVE REQUIREMENTS:• 3-5 years of design experience, preferably in interactive/digital• Bachelor's Degree in Design (or a killer portfolio and some serious design-savvy)• Be the lead designer on projects and lead design teams when necessary• Produce concepts from sketch to beautiful and effective digital designs• It is your responsibility to work alongside and help lead 2nd concept designers• You are expected to see website re-designs all the way through A-Z, concept to QA• Create best practice information architecture; sitemaps, wireframes & user flows• Must have the ability to clearly articulate UX/UI reviews internally and to clients• Follow creative direction and client brand guidelines to establish brand language and extension• Collaborate with developers, copywriters, producers, other designers, and interns• Prepare files for print production, HTML, emails, social assets and style guidesBONUS SKILLS:• Motion graphics using After Effects, Cinema 4D, Lottie Files• Photography and Photo editing experience• Video editing experience using Premiere or Final Cut Pro• Illustration using your hands• Javascript or CSS animation experiencePERKS AND BENEFITS:• Health, Dental, Vision, and Life insurance (99% premium paid by the company, 1% paid by employee)• Long-Term Disability (100% premium paid by the company)• 401k with company matching and profit sharing• PTO with holidays + studio shut down at end of year• 4-week sabbatical after your 6th year• Hybrid schedule (WFH Monday / Friday, in studio Tuesday - Thursday)• Macbook Pros on tap• Training + conference opportunities• Casual dog-friendly studio environment• Downtown studio with parking paid for by the company• Summer hours on Fridays (as long as it's warm out and the brews are cold)• Full fridge of impromptu Happy Hour beverages• Catered lunches on Wednesday from Bentos Catering• Coffee roasted by One Line CoffeeVIEW MORE HERE:https://jobs.portfoliocreative.com/jobs/5896 Show more Show less Employment type Full-time"
177,,,,
